"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"mesata"	"mesoleuca"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-109.96	31.46	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.07	31.88	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.24	31.4	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.03	31.84	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.11	33.64	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.93	32.03	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.18	31.91	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.49	32.46	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.23	31.4	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.27	31.5	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.39	31.68	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.09	31.79	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.21	31.97	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.08	31.87	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-107.58	32.92	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.86	31.77	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.47	33.4	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.12	31.92	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.07	32.25	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.27	32	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.23	31.39	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.06	31.93	"unknown"	0	0	1	0	1	"mesoleuca"
