"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre"	-110.26	31.54	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.06	32.62	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.08	32.06	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.94	31.34	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.43	30.84	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-107.97	32.58	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.95	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.69	31.37	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.27	32.77	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.46	30.86	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-107.77	30.54	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.72	31.57	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.11	31.41	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.12	31.42	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.17	31.9	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.13	31.42	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.26	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.31	32.83	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.53	31.35	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.19	32.78	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.73	32.8	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.04	31.93	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.71	32.33	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.26	32	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.3	31.48	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.97	32.1	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.12	31.93	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.23	31.39	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.28	31.92	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.04	32.04	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.5	32.33	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.06	31.89	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.07	31.85	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.1	31.99	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.26	31.53	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.3	31.96	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.86	32.29	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.25	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.53	31.33	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.12	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.14	31.96	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.22	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.23	31.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.22	31.72	"unknown"	1	0	1	"celsum"
