"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"cleonensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia cleonensis"	-124.03	40.52	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-124.19	40.82	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124	40.77	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.14	40.87	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.26	40.58	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.08	40.87	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.14	41.06	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.64	40.66	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia merrilli"	-122.64	40.66	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-123.13	40.77	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia merrilli"	-123.13	40.77	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia rufina"	-122.64	40.66	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-122.64	40.66	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.4	41.6	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.83	41.38	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.38	41.23	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.32	41.32	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-124.42	42.41	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.2	41.76	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-122.8	42.47	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia merrilli"	-122.8	42.47	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.3	40.78	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.55	41.89	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-122.32	41.31	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.15	41.1	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-123.62	40.92	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia caurina"	-124.13	41.16	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.89	40.78	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.13	41.16	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-123.14	40.55	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-124.4	43.26	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-124.32	43.3	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia montana"	-123.49	40.62	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-124.39	42.43	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-123.49	40.62	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.16	40.79	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.14	40.55	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.19	40.82	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.42	42.41	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.17	42.05	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.35	42.31	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.15	42.15	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.37	43.07	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.19	40.78	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella"	-122.43	41.46	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.21	41.76	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella-cleonensi"	-124.05	41.55	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.5	42.19	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.16	40.6	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.14	41.06	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-122.59	41.89	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.17	41.95	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.24	40.67	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.22	40.64	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.63	40.94	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.19	40.82	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia merrilli"	-123.1	40.76	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-123.19	41.84	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia merrilli"	-123.19	41.84	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-122.87	42.24	"unknown"	0	0	1	1	"cleonensis"
