"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii"	-104.68	19.22	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.69	19.23	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.64	38.25	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.81	43.21	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.69	25.38	"unknown"	0	0	0	"none"
"Vireo bellii"	-69.96	41.82	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.35	25.77	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.72	43.37	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.56	44.32	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.38	29.3	"unknown"	0	0	0	"none"
"Vireo bellii"	-74.84	5.78	"unknown"	0	0	0	"none"
"Vireo bellii"	-72.51	43.63	"unknown"	0	0	0	"none"
"Vireo bellii bellii"	-85.75	38.15	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.4	19.15	"unknown"	0	0	0	"none"
"Vireo bellii"	-74.38	40.55	"unknown"	0	0	0	"none"
"Vireo bellii"	-101.76	40.09	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.77	43.37	"unknown"	0	0	0	"none"
"Vireo bellii"	-101.13	41.12	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.4	14.71	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.3	25.99	"unknown"	0	0	0	"none"
"Vireo bellii"	-97.2	37.19	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.8	19.25	"unknown"	0	0	0	"none"
"Vireo bellii"	-86.46	36.96	"unknown"	0	0	0	"none"
"Vireo bellii"	-101.03	25.36	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.84	36.56	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.13	40.59	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.64	41.62	"unknown"	0	0	0	"none"
"Vireo bellii"	-90.19	38.87	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.36	34.47	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.27	46.29	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.25	38.92	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.24	38.92	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.16	41.73	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.46	36.14	"unknown"	0	0	0	"none"
"Vireo bellii"	-86.47	42.12	"unknown"	0	0	0	"none"
"Vireo bellii"	-102.42	43.89	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.34	34.16	"unknown"	0	0	0	"none"
"Vireo bellii"	-99.57	36.56	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.01	44.75	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.25	44.67	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.54	41.94	"unknown"	0	0	0	"none"
"Vireo bellii"	-102.92	43.97	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.55	41.56	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.35	38.92	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.29	44.34	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.54	41.56	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.07	41.14	"unknown"	0	0	0	"none"
