"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus"	-106.89	33.8	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.86	39.76	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.71	30.96	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.5	30.59	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.78	31.08	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.75	32.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.73	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.87	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.76	32.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.83	32.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-105.92	32.89	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.86	30.66	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.72	32.32	"unknown"	0	0	0	"none"
"Cardinalis cardinalis × sinuatus"	-90.99	30.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-101.62	33.51	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.83	31.03	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.94	32.3	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.79	32.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-101.85	33.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.81	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.73	30.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.83	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.28	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-105.92	32.75	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.88	33.82	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-101.62	33.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.89	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.72	30.96	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.63	30.36	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.9	30.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.26	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-97.49	18.56	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.89	33.81	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-101.06	33.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-100.36	34.16	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-107.2	33.15	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.93	30.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.74	32.62	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.47	32.11	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-105.99	33.08	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.72	32.26	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.92	30.81	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.98	30.59	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-105.04	39.74	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.56	32.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.86	33.81	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.85	33.82	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.99	39.74	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-105	30.77	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.6	32.39	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-105.2	31.88	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.88	33.8	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.79	30.66	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.92	32.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.87	33.81	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.57	31.99	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.67	30.36	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.09	32.84	"unknown"	0	0	0	"none"
